0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 200 16547
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "GET /hotel_prj/static/home/images/ko/pc/common/spr_form.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:04 +0900] "POST /hotel_prj/user/mypage/lnbInfoApi.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "GET /hotel_prj/user/diningResList.do HTTP/1.1" 200 18911
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "POST /hotel_prj/user/mypage/lnbInfoApi.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:17 +0900] "POST /hotel_prj/user/diningResListResult.do HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:18 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 200 16547
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:18 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:18 +0900] "POST /hotel_prj/user/mypage/lnbInfoApi.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:39 +0900] "GET /hotel_prj/user/diningResList.do HTTP/1.1" 200 18911
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:39 +0900] "GET /hotel_prj/static/home/js/ko/pc/swiper-bundle.min.js.map HTTP/1.1" 404 1427
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:39 +0900] "POST /hotel_prj/user/mypage/lnbInfoApi.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:39 +0900] "POST /hotel_prj/user/diningResListResult.do HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [12/Jul/2024:13:52:40 +0900] "GET /hotel_prj/user/roomResList.do HTTP/1.1" 200 16547
